VTEC Events for: [SCC019] Charleston ,,,,
Event ID,Phenomena,Significance,Issued,Expired
21,Tornado,Warning,Thu Aug 26 1999 09:21:00 GMT-0400 (Eastern Daylight Time),Thu Aug 26 1999 09:50:00 GMT-0400 (Eastern Daylight Time)
13,Flash Flood,Warning,Tue Sep 28 1999 19:18:00 GMT-0400 (Eastern Daylight Time),Tue Sep 28 1999 21:20:00 GMT-0400 (Eastern Daylight Time)
14,Flash Flood,Warning,Sun Oct 17 1999 10:11:00 GMT-0400 (Eastern Daylight Time),Sun Oct 17 1999 15:00:00 GMT-0400 (Eastern Daylight Time)
6,Severe Thunderstorm,Warning,Mon Feb 14 2000 17:11:00 GMT-0500 (Eastern Standard Time),Mon Feb 14 2000 18:15:00 GMT-0500 (Eastern Standard Time)
25,Severe Thunderstorm,Warning,Thu May 25 2000 23:19:00 GMT-0400 (Eastern Daylight Time),Fri May 26 2000 00:00:00 GMT-0400 (Eastern Daylight Time)
56,Severe Thunderstorm,Warning,Sat Jul 22 2000 16:03:00 GMT-0400 (Eastern Daylight Time),Sat Jul 22 2000 16:45:00 GMT-0400 (Eastern Daylight Time)
4,Tornado,Warning,Sun Jul 23 2000 21:22:00 GMT-0400 (Eastern Daylight Time),Sun Jul 23 2000 21:45:00 GMT-0400 (Eastern Daylight Time)
5,Tornado,Warning,Sun Jul 30 2000 19:38:00 GMT-0400 (Eastern Daylight Time),Sun Jul 30 2000 20:10:00 GMT-0400 (Eastern Daylight Time)
65,Severe Thunderstorm,Warning,Tue Aug 08 2000 17:28:00 GMT-0400 (Eastern Daylight Time),Tue Aug 08 2000 18:00:00 GMT-0400 (Eastern Daylight Time)
72,Severe Thunderstorm,Warning,Fri Aug 11 2000 14:52:00 GMT-0400 (Eastern Daylight Time),Fri Aug 11 2000 15:15:00 GMT-0400 (Eastern Daylight Time)
80,Severe Thunderstorm,Warning,Mon Aug 28 2000 17:59:00 GMT-0400 (Eastern Daylight Time),Mon Aug 28 2000 18:30:00 GMT-0400 (Eastern Daylight Time)
1,Flash Flood,Warning,Tue Sep 05 2000 03:53:00 GMT-0400 (Eastern Daylight Time),Tue Sep 05 2000 07:00:00 GMT-0400 (Eastern Daylight Time)
2,Flash Flood,Warning,Mon Sep 18 2000 09:28:00 GMT-0400 (Eastern Daylight Time),Mon Sep 18 2000 11:30:00 GMT-0400 (Eastern Daylight Time)
15,Severe Thunderstorm,Warning,Tue Mar 20 2001 13:58:00 GMT-0500 (Eastern Standard Time),Tue Mar 20 2001 14:30:00 GMT-0500 (Eastern Standard Time)
21,Severe Thunderstorm,Warning,Sat May 12 2001 15:44:00 GMT-0400 (Eastern Daylight Time),Sat May 12 2001 16:30:00 GMT-0400 (Eastern Daylight Time)
9,Tornado,Warning,Tue Jun 12 2001 21:45:00 GMT-0400 (Eastern Daylight Time),Tue Jun 12 2001 22:15:00 GMT-0400 (Eastern Daylight Time)
10,Tornado,Warning,Tue Jun 12 2001 22:56:00 GMT-0400 (Eastern Daylight Time),Tue Jun 12 2001 23:30:00 GMT-0400 (Eastern Daylight Time)
11,Tornado,Warning,Tue Jun 19 2001 09:46:00 GMT-0400 (Eastern Daylight Time),Tue Jun 19 2001 10:15:00 GMT-0400 (Eastern Daylight Time)
49,Severe Thunderstorm,Warning,Thu Jul 12 2001 14:36:00 GMT-0400 (Eastern Daylight Time),Thu Jul 12 2001 15:10:00 GMT-0400 (Eastern Daylight Time)
62,Severe Thunderstorm,Warning,Tue Sep 11 2001 14:06:00 GMT-0400 (Eastern Daylight Time),Tue Sep 11 2001 15:00:00 GMT-0400 (Eastern Daylight Time)
